ranobedb_id,anilist_id,myanimelist_id,anidb_id
11190,,,
8917,,,14602
6521,,,
7589,,,
20928,,,
14268,,,
15018,,,
3414,,,
2938,,,11480
7019,101763,107339,18133
18172,,,
17299,,,
8489,,,
12842,,,
11094,123265,139108,17702
13193,,,
9189,,,
15014,,,
14427,,,
1550,,,
8646,132297,135384,
11721,,,
7410,107157,110219,
14404,,,
6928,117040,107318,
5268,99350,103809,14453
988,,,
8758,,,
1461,,,
8474,,,
14170,,,
923,,,
12594,,,
15614,,,
18773,,,
1398,,,
11355,136342,137704,
12360,142243,145372,
10470,127581,,
11646,127740,136325,
20503,94345,87375,
17055,,,
20325,,,
15885,,,
16234,,,
18235,,,
7479,,,
662,,,
5794,,,
10820,123339,129464,
2903,86202,55157,10710
16395,,,
1411,,,
6668,,,
12518,137043,139706,19722
15365,,,
7928,,,
17339,,,
18851,195521,,
1434,,,
21539,,,
17604,,,
14276,,,
17204,,171231,
20971,,,
5082,,,
16806,,,
16277,174678,,
17772,,,
2404,,,
14795,,,
13589,,,
17117,,,
10014,,126490,
10262,,,
6373,,,
9060,,122618,
8331,,,
12128,147759,160252,
5702,,,
10823,,,
17334,,,
14033,153605,152361,
338,,,
10031,,,
13691,149235,163697,
5773,110505,99566,17157
10778,129100,132404,18781
10907,,,
14599,,,
17048,,,17723
17369,,,
17657,,,
3861,,,
334,51658,21658,7315
15187,,,
21057,206023,,
11157,,,
13629,,,
13468,,,
12991,,,
17767,,,
17654,,,
16827,,,
17905,,,
16079,,,
8145,,,
2791,,,
9901,116658,123659,
13217,147070,145427,
5578,,,
1777,56613,26613,9305
12390,,,
14625,,,
15419,,,
10912,33478,3478,
12821,,,
10596,117637,133723,17788
11706,,,
14155,153614,153343,
17030,,,
3687,86613,74763,
12749,,,
4610,,,
7386,,,
15661,182823,,
11035,,,
14748,,,
6438,,,
15608,,185608,
15424,,,
18812,,,
11211,,,
4714,85425,97602,
13608,,,
20297,,,
7833,,,
10379,,,
10751,,,
13709,171135,170047,
18800,,,
13415,,146283,
15328,,,
12770,,,
16147,,,
1567,55597,25597,8879
4958,,,
13442,,,
17441,,,
14828,,,
16480,,,
8934,,,
1544,,,
13475,,,
16165,,,
13719,,,
13161,,,
8844,,,
6732,,,
20523,,,
5137,,,
18465,,,
18015,,,
15711,,,
18452,,,
16535,,,
12086,,,
12654,,,
9044,,,
9334,,,
9017,,,
2590,,,
3846,,,
5086,,,
14198,,,
17058,,,
3508,86271,70795,
16396,,,
15613,,,
15234,,,
5452,,,
1254,,,
2564,,,
1584,,,
951,,,
978,,,
15818,,,
17770,,,
9680,,,
17105,,,
14101,,,
2312,,,
16366,,,
12042,,,
17057,,,
7832,115432,122877,18583
11893,,,
5321,,,
15291,,,
11946,,,
17118,,14066,6331
17020,,,
18899,,,
12115,,,
13129,,,
11660,,,
21229,,,
13721,,,
16466,,,
12582,,,
4475,,105466,
13338,,,
15745,,,
14071,,,
12155,139034,173830,18852
2453,,,
17189,,,
17011,,,
13281,,,
411,33711,3711,3572
10990,,,
18750,180530,173538,
18682,,,
11661,,,
134,,,
457,,,
14507,,,
13772,,,
12573,154817,162849,
199,,,
15456,,,
17066,,,
16398,,,
7845,,,
16726,,,
12099,,,
15636,,,
6933,,,
16553,,,
17009,,,
17525,104474,114895,18541
2337,,,
21427,,,
1148,55210,25210,
3412,99119,89704,
15859,,,
15040,,,
7392,,,
11393,,,
1453,,,
17849,,,
2069,40429,10429,9309
10673,,,
18564,,,
14498,,,
6423,,,
20667,,144393,17219
4565,,,
5972,,,
18469,70099,40099,8883
15886,,,
13770,,,
15160,,,
14271,,,
998,,,
18941,,,
8341,105278,125918,18232
819,,,
4206,,,
14195,,,
12256,,,
18690,,,
2062,,,
4751,,,
12403,,,
5356,,,
5080,75347,45347,
1928,,,
1025,,,
2189,,,
529,,,
12312,,,
10686,,,
8357,116799,121397,18868
5453,,,
18005,,,
10371,,,
14272,,,
6890,,,
17906,85348,58509,
16752,,,
15206,,,
15293,,,
13037,,,
13416,,146066,
4017,,,
13131,,,
8168,,,
7269,,,
11723,,,
15709,,170669,
17059,,,
18930,,,
16912,,,
16668,,,
1993,,,
11032,,,
17930,,34329,
17405,184934,,
11968,142143,165814,
21628,,,
5694,97316,99044,
16816,,,
12748,,,
1929,,,
9003,114904,126032,
9405,117640,147926,17444
14688,,,
11797,,,
6748,100884,109565,18295
15004,,,
18535,,,
15634,,,
10996,,,
10335,,,
18499,,,
14023,,,
21335,,,
550,,,
7694,,,
18154,,,
2350,,,
3056,,,
16196,,,
18448,,,
941,51784,21784,
15095,,,
18947,,,
17623,,,
7337,,,
3740,,,
21688,,,
15140,,,
9919,,,
20572,,,
18004,,,
20189,,,
20492,,,
13994,174121,169190,
20591,,,
17523,,119991,
16471,,,
3868,,,
15917,,,
2394,85877,56155,
1235,,,
8752,,,
18182,,,
2741,,,
15158,,,
9296,,,
20985,,,
13169,,115500,
17779,,,
8888,,,
2417,,,
7674,,,
12496,,,
327,,,
14299,,,
11776,,,
20688,,,
13057,,,
571,,,
16731,,,
6285,100902,102419,
7176,,,
10372,,,
21734,,,
4029,,,
20636,,,
17134,,,
16539,,,
13551,,,
11221,,,
12435,,,
10369,,,
21084,,,
16365,182572,188638,
14920,186779,,
8104,,,
21817,,,
1492,,,
5798,,,
11596,,,
10569,,,
14013,,,
16181,,,
15750,,,
16808,,,
12006,,,
16635,,,
14027,,,
15395,,,
7229,,,
5179,,,
15568,,,
15835,,,
14544,,,
6152,,,
17434,,,
17159,,,
9821,,,
10468,,,
13847,,161240,
11366,,,
15306,,,
2434,,,
17210,,,
16962,,,
6993,116653,107577,
14803,,,
6306,,,
17114,,,
16401,,,
4010,86449,83567,
295,,1406,
15488,,,
5824,,,
21270,,,
6650,,,
21105,,,19701
17457,,,
486,,,
17031,,,
17607,,,
17444,105485,116919,
1963,,,
5217,,,
7259,,,
10577,,,
20574,,139829,10540
18884,,,
15322,,,
2997,,,
2913,,,
16414,,,
17524,,,10932
11025,,,
10903,,,
16022,,,
12213,,,
13067,,,
12846,148208,168518,
20295,,,
17935,,,
4452,94670,88406,19633
4869,,,
6592,,,
16068,,,
9036,,,
10323,,,
9952,,134461,
12692,,,
14179,,,
21159,,,
12789,,,
17135,,,
5909,,,
13509,,,
2390,,,
8519,,,
185,,4177,
3343,85737,74697,11370
3768,99026,86769,17870
6547,98610,104039,15441
4239,87383,86119,14727
12295,136833,142171,18795
3580,86355,87610,13871
3336,85470,70261,14758
4557,94970,89357,13153
11978,130687,134341,17914
5180,86406,95012,14201
8821,108428,115922,16073
9601,113533,123649,17108
1180,85134,55215,
2405,85976,81669,10816
2643,85162,56743,10894
12985,143071,152588,19744
3079,86238,60553,11261
4602,86274,88923,13624
3486,91170,70399,13900
490,,,5975
12417,135276,138481,18317
2276,,,
1234,51479,21479,8692
3148,94846,88930,11905
5549,97100,97869,
14193,154060,160251,18845
8107,104504,116557,17005
12616,142687,156106,18124
1014,,,
2864,,56755,
5670,97752,107884,15505
